18106,04,18,19,24,25,26,10
18105,04,05,13,18,19,25,01
18104,02,03,06,19,25,29,01
18103,02,09,15,22,23,24,16
18102,02,06,11,19,21,28,05
18101,01,03,14,26,29,33,09
18100,02,11,14,15,29,33,02
18099,03,07,08,14,25,32,06
18098,06,10,11,20,29,32,13
18097,01,02,17,20,25,28,13
18096,01,05,09,20,28,32,12
18095,10,11,12,21,26,33,09
18094,04,07,16,20,24,30,05
18093,04,18,20,21,29,33,07
18092,06,10,16,19,24,33,16
18091,06,11,13,17,25,32,07
18090,01,02,04,10,14,23,07
18089,06,09,12,14,18,27,14
18088,03,05,12,29,30,32,14
18087,01,05,10,16,18,31,03
18086,02,07,17,21,23,26,16
18085,04,10,25,26,30,33,06
18084,05,06,08,12,22,24,03
18083,04,09,18,21,32,33,03
18082,06,12,14,20,22,24,09
18081,01,02,12,16,20,26,03
18080,04,07,13,20,29,33,03
18079,14,15,17,22,24,29,13
18078,03,10,14,17,18,30,12
18077,02,05,09,15,20,24,10
18076,03,07,08,15,29,30,13
18075,07,09,12,13,22,24,11
18074,09,11,14,20,27,30,09
18073,02,09,14,15,16,23,10
18072,11,16,19,22,25,30,08
18071,02,05,06,13,16,19,03
18070,04,09,15,16,19,27,10
18069,06,13,17,19,23,31,12
18068,08,10,17,20,27,30,01
18067,01,04,09,12,15,18,05
18066,09,16,17,19,22,26,10
18065,01,04,06,14,28,33,01
18064,02,05,10,11,17,21,05
18063,05,06,10,16,20,25,12
18062,02,18,19,24,25,33,11
18061,09,10,11,12,18,23,07
18060,04,08,13,25,30,31,10
18059,04,06,08,13,22,32,11
18058,07,12,13,16,26,31,07
18057,05,15,17,19,20,30,13
18056,01,03,06,20,21,26,01
18055,07,09,10,12,22,26,07
18054,04,06,18,22,25,33,16
18053,01,04,10,11,14,27,06
18052,03,05,06,09,15,32,14
18051,05,07,20,23,27,31,04
18050,01,02,04,10,18,19,07
18049,01,03,04,11,19,23,02
18048,01,12,20,25,30,31,02
18047,06,07,12,16,22,25,07
18046,10,13,14,18,20,31,03
18045,03,04,06,25,26,30,01
18044,05,09,12,17,27,30,06
18043,01,04,06,08,21,24,07
18042,06,10,21,28,29,31,12
18041,07,08,20,23,24,32,13
18040,01,03,08,13,18,23,16
18039,08,12,18,19,23,32,03
18038,15,23,24,25,28,29,09
18037,01,06,07,08,27,30,10
18036,08,17,24,26,28,33,04
18035,07,10,11,17,23,28,15
18034,01,05,11,22,23,26,15
18033,04,19,20,22,28,33,06
18032,21,22,23,24,25,32,06
18031,02,16,18,19,27,30,14
18030,13,14,20,21,25,33,07
18029,01,02,09,14,22,25,05
18028,03,08,11,14,18,23,16
18027,02,07,09,14,18,28,05
18026,04,07,12,14,26,32,04
18025,04,13,16,19,21,25,14
18024,11,19,22,26,31,32,02
18023,12,15,16,21,26,29,16
18022,07,14,19,21,22,23,03
18021,03,04,06,11,23,28,14
18020,06,09,10,14,28,30,05
18019,03,11,12,16,21,23,09
18018,02,12,13,18,25,27,07
18017,03,06,11,26,30,32,12
18016,01,11,12,18,25,27,16
18015,11,15,20,21,26,33,15
18014,09,12,20,24,28,31,07
18013,06,08,13,15,22,33,06
18012,11,12,13,19,26,28,12
18011,03,10,21,23,27,33,11
18010,01,08,17,20,21,22,03
18009,05,10,17,23,26,32,07
18008,05,09,10,12,17,19,13
18007,13,14,20,25,27,31,12
18006,02,07,08,09,17,29,11
18005,02,20,21,28,31,33,06
18004,14,18,19,26,30,31,11
18003,01,14,16,17,20,31,04
18002,07,18,24,29,31,33,16
18001,01,08,11,26,28,31,04
